position,a_param,b_param,c_param
C,49564276.13871061,-1395391.3863699366,9923.708047247685
CB,94977712.03682697,-2622164.2282985467,18189.72684013685
DT,147143236.0133815,-3772815.1767296316,24251.27006399322
FB,74366331.66159599,-1734942.256891664,10156.302753662096
FS,88744453.7142279,-2300728.7564703412,15004.442348288907
HB,108486247.13856618,-3136603.0081566833,22767.592310474807
K,-3783865.8544802116,47477.68019103975,234.5421353718679
LE,197167484.19705382,-4775010.80831535,29022.322395571027
LG,75255139.73228785,-2106743.924138753,14841.120552454835
LOLB,87483609.87671162,-2352609.0044094473,15922.157855633628
LT,-18613681.59102314,284125.5941790367,103.10238018450832
MLB,35955785.74652043,-1034769.3679517608,7578.606993279625
P,13041310.05049041,-333376.28729704046,2356.1652833723033
QB,82586116.0490209,-2425987.7650175653,17895.252514543936
RE,149143829.44619346,-3735556.0085194376,23446.80243127083
RG,-10630425.784092912,71098.90607322865,1209.5023300515065
ROLB,63478772.67758351,-1790836.801204352,12696.544803605815
RT,13617280.62181664,-563373.2231678441,5529.034111537259
SS,53927513.744530976,-1477291.6208683427,10232.794821875914
TE,37424661.832887575,-1018278.7439690066,6943.7620998688335
WR,101765819.94455507,-2733292.378686411,18448.660474138043
